GEN_ID,DOC_ID,EXP_ID,SYS_ID
1,S005,00_Existing,wiseman_frototest_conditional_copy_beam5_gens.txt
2,S006,00_Existing,wiseman_frototest_conditional_copy_beam5_gens.txt
3,S007,00_Existing,wiseman_frototest_conditional_copy_beam5_gens.txt
4,S008,00_Existing,wiseman_frototest_conditional_copy_beam5_gens.txt
5,S009,00_Existing,wiseman_frototest_conditional_copy_beam5_gens.txt
6,S010,00_Existing,wiseman_frototest_conditional_copy_beam5_gens.txt
7,S011,00_Existing,wiseman_frototest_conditional_copy_beam5_gens.txt
8,S012,00_Existing,puduppully_aaai_19_rotowire_test.txt
9,S013,00_Existing,puduppully_aaai_19_rotowire_test.txt
10,S014,00_Existing,puduppully_aaai_19_rotowire_test.txt
11,S015,00_Existing,puduppully_aaai_19_rotowire_test.txt
12,S016,00_Existing,puduppully_aaai_19_rotowire_test.txt
13,S017,00_Existing,puduppully_aaai_19_rotowire_test.txt
14,S018,00_Existing,puduppully_aaai_19_rotowire_test.txt
15,S022,00_Existing,rebuffel_test_gen_not_paper.txt
16,S023,00_Existing,rebuffel_test_gen_not_paper.txt
17,S024,00_Existing,rebuffel_test_gen_not_paper.txt
18,S025,00_Existing,rebuffel_test_gen_not_paper.txt
19,S026,00_Existing,rebuffel_test_gen_not_paper.txt
20,S027,00_Existing,rebuffel_test_gen_not_paper.txt
21,S028,00_Existing,rebuffel_test_gen_not_paper.txt
22,S001,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
23,S002,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
24,S003,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
25,S004,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
26,S019,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
27,S020,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
28,S021,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
29,S029,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
30,S030,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
31,S031,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
32,S032,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
33,S033,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
34,S034,01_To_60,wiseman_frototest_conditional_copy_beam5_gens.txt
35,S035,01_To_60,puduppully_aaai_19_rotowire_test.txt
36,S036,01_To_60,puduppully_aaai_19_rotowire_test.txt
37,S037,01_To_60,puduppully_aaai_19_rotowire_test.txt
38,S038,01_To_60,puduppully_aaai_19_rotowire_test.txt
39,S039,01_To_60,puduppully_aaai_19_rotowire_test.txt
40,S040,01_To_60,puduppully_aaai_19_rotowire_test.txt
41,S041,01_To_60,puduppully_aaai_19_rotowire_test.txt
42,S042,01_To_60,puduppully_aaai_19_rotowire_test.txt
43,S043,01_To_60,puduppully_aaai_19_rotowire_test.txt
44,S044,01_To_60,puduppully_aaai_19_rotowire_test.txt
45,S045,01_To_60,puduppully_aaai_19_rotowire_test.txt
46,S046,01_To_60,puduppully_aaai_19_rotowire_test.txt
47,S047,01_To_60,puduppully_aaai_19_rotowire_test.txt
48,S048,01_To_60,rebuffel_test_gen_not_paper.txt
49,S049,01_To_60,rebuffel_test_gen_not_paper.txt
50,S050,01_To_60,rebuffel_test_gen_not_paper.txt
51,S051,01_To_60,rebuffel_test_gen_not_paper.txt
52,S052,01_To_60,rebuffel_test_gen_not_paper.txt
53,S053,01_To_60,rebuffel_test_gen_not_paper.txt
54,S054,01_To_60,rebuffel_test_gen_not_paper.txt
55,S055,01_To_60,rebuffel_test_gen_not_paper.txt
56,S056,01_To_60,rebuffel_test_gen_not_paper.txt
57,S057,01_To_60,rebuffel_test_gen_not_paper.txt
58,S058,01_To_60,rebuffel_test_gen_not_paper.txt
59,S059,01_To_60,rebuffel_test_gen_not_paper.txt
60,S060,01_To_60,rebuffel_test_gen_not_paper.txt
61,S061,02_To_90,wiseman_frototest_conditional_copy_beam5_gens.txt
62,S062,02_To_90,wiseman_frototest_conditional_copy_beam5_gens.txt
63,S063,02_To_90,wiseman_frototest_conditional_copy_beam5_gens.txt
64,S064,02_To_90,wiseman_frototest_conditional_copy_beam5_gens.txt
65,S065,02_To_90,wiseman_frototest_conditional_copy_beam5_gens.txt
66,S066,02_To_90,wiseman_frototest_conditional_copy_beam5_gens.txt
67,S067,02_To_90,wiseman_frototest_conditional_copy_beam5_gens.txt
68,S068,02_To_90,wiseman_frototest_conditional_copy_beam5_gens.txt
69,S069,02_To_90,wiseman_frototest_conditional_copy_beam5_gens.txt
70,S070,02_To_90,wiseman_frototest_conditional_copy_beam5_gens.txt
71,S071,02_To_90,puduppully_aaai_19_rotowire_test.txt
72,S072,02_To_90,puduppully_aaai_19_rotowire_test.txt
73,S073,02_To_90,puduppully_aaai_19_rotowire_test.txt
74,S074,02_To_90,puduppully_aaai_19_rotowire_test.txt
75,S075,02_To_90,puduppully_aaai_19_rotowire_test.txt
